date,world,pdp,purchases
2024-01-17,e-grav,95.0,0.0
2024-01-17,e-mtn,550.0,1.0
2024-01-17,e-u&r,218.0,0.0
2024-01-17,gr,1475.0,15.0
2024-01-17,grav,128.0,2.0
2024-01-17,mtn,3226.0,5.0
2024-01-17,rd,881.0,12.0
2024-01-17,na,1.0,0.0
2024-01-17,u&r,210.0,0.0
2024-01-18,e-grav,79.0,0.0
2024-01-18,e-mtn,576.0,2.0
2024-01-18,e-u&r,151.0,0.0
2024-01-18,gr,1101.0,38.0
2024-01-18,grav,114.0,4.0
2024-01-18,mtn,2938.0,3.0
2024-01-18,rd,856.0,9.0
2024-01-18,na,1.0,0.0
2024-01-18,u&r,194.0,0.0
2024-01-19,e-grav,104.0,2.0
2024-01-19,e-mtn,618.0,1.0
2024-01-19,e-u&r,157.0,0.0
2024-01-19,gr,1140.0,34.0
2024-01-19,grav,88.0,7.0
2024-01-19,mtn,2999.0,2.0
2024-01-19,rd,755.0,5.0
2024-01-19,na,1.0,0.0
2024-01-19,u&r,180.0,1.0
2024-01-20,e-grav,71.0,0.0
2024-01-20,e-mtn,400.0,1.0
2024-01-20,e-u&r,110.0,0.0
2024-01-20,gr,951.0,32.0
2024-01-20,grav,1901.0,4.0
2024-01-20,mtn,2568.0,4.0
2024-01-20,rd,638.0,4.0
2024-01-20,na,2.0,0.0
2024-01-20,u&r,157.0,0.0
2024-01-21,e-grav,83.0,0.0
2024-01-21,e-mtn,401.0,0.0
2024-01-21,e-u&r,72.0,0.0
2024-01-21,gr,1077.0,22.0
2024-01-21,grav,100.0,2.0
2024-01-21,mtn,2875.0,6.0
2024-01-21,rd,761.0,12.0
2024-01-21,na,1.0,0.0
2024-01-21,u&r,186.0,1.0
2024-01-22,e-grav,73.0,0.0
2024-01-22,e-mtn,635.0,0.0
2024-01-22,e-u&r,310.0,0.0
2024-01-22,gr,1223.0,17.0
2024-01-22,grav,148.0,0.0
2024-01-22,mtn,3465.0,2.0
2024-01-22,rd,779.0,5.0
2024-01-22,u&r,202.0,1.0
2024-01-23,e-grav,78.0,0.0
2024-01-23,e-mtn,602.0,0.0
2024-01-23,e-u&r,336.0,0.0
2024-01-23,gr,1077.0,10.0
2024-01-23,grav,164.0,5.0
2024-01-23,mtn,3213.0,7.0
2024-01-23,rd,733.0,1.0
2024-01-23,na,2.0,0.0
2024-01-23,u&r,235.0,0.0
2024-01-24,e-grav,77.0,0.0
2024-01-24,e-mtn,546.0,0.0
2024-01-24,e-u&r,178.0,0.0
2024-01-24,gr,1112.0,25.0
2024-01-24,grav,200.0,5.0
2024-01-24,mtn,3060.0,1.0
2024-01-24,rd,667.0,2.0
2024-01-24,na,3.0,0.0
2024-01-24,u&r,203.0,1.0
2024-01-25,e-grav,79.0,0.0
2024-01-25,e-mtn,585.0,3.0
2024-01-25,e-u&r,136.0,0.0
2024-01-25,gr,1129.0,15.0
2024-01-25,grav,987.0,1.0
2024-01-25,mtn,2804.0,3.0
2024-01-25,rd,733.0,5.0
2024-01-25,na,2.0,0.0
2024-01-25,u&r,280.0,0.0
2024-01-26,e-grav,81.0,0.0
2024-01-26,e-mtn,622.0,1.0
2024-01-26,e-u&r,116.0,0.0
2024-01-26,gr,1267.0,45.0
2024-01-26,grav,114.0,4.0
2024-01-26,mtn,2787.0,3.0
2024-01-26,rd,852.0,18.0
2024-01-26,na,2.0,0.0
2024-01-26,u&r,250.0,1.0
2024-01-27,e-grav,91.0,0.0
2024-01-27,e-mtn,534.0,1.0
2024-01-27,e-u&r,118.0,0.0
2024-01-27,gr,1269.0,62.0
2024-01-27,grav,978.0,4.0
2024-01-27,mtn,2644.0,1.0
2024-01-27,rd,600.0,9.0
2024-01-27,u&r,200.0,0.0
2024-01-28,e-grav,98.0,1.0
2024-01-28,e-mtn,467.0,0.0
2024-01-28,e-u&r,84.0,0.0
2024-01-28,gr,1348.0,55.0
2024-01-28,grav,1059.0,0.0
2024-01-28,mtn,2812.0,4.0
2024-01-28,rd,1480.0,7.0
2024-01-28,na,1.0,0.0
2024-01-28,u&r,192.0,0.0
2024-01-29,e-grav,123.0,0.0
2024-01-29,e-mtn,645.0,1.0
2024-01-29,e-u&r,95.0,0.0
2024-01-29,gr,1724.0,72.0
2024-01-29,grav,66.0,1.0
2024-01-29,mtn,3079.0,5.0
2024-01-29,rd,859.0,17.0
2024-01-29,na,1.0,0.0
2024-01-29,u&r,381.0,2.0
2024-01-30,e-grav,86.0,0.0
2024-01-30,e-mtn,537.0,1.0
2024-01-30,e-u&r,113.0,0.0
2024-01-30,gr,1488.0,54.0
2024-01-30,grav,38.0,6.0
2024-01-30,mtn,3202.0,1.0
2024-01-30,rd,733.0,11.0
2024-01-30,na,2.0,0.0
2024-01-30,u&r,302.0,2.0
2024-01-31,e-grav,83.0,0.0
2024-01-31,e-mtn,601.0,1.0
2024-01-31,e-u&r,80.0,0.0
2024-01-31,gr,1323.0,62.0
2024-01-31,grav,45.0,10.0
2024-01-31,mtn,2887.0,1.0
2024-01-31,rd,768.0,10.0
2024-01-31,na,2.0,0.0
2024-01-31,u&r,257.0,0.0
2024-02-01,e-grav,64.0,0.0
2024-02-01,e-mtn,632.0,0.0
2024-02-01,e-u&r,81.0,0.0
2024-02-01,gr,1375.0,45.0
2024-02-01,grav,34.0,2.0
2024-02-01,mtn,2796.0,2.0
2024-02-01,rd,1604.0,8.0
2024-02-01,na,3.0,0.0
2024-02-01,u&r,251.0,2.0
2024-02-02,e-grav,84.0,1.0
2024-02-02,e-mtn,694.0,2.0
2024-02-02,e-u&r,78.0,0.0
2024-02-02,gr,1245.0,33.0
2024-02-02,grav,58.0,2.0
2024-02-02,mtn,3276.0,12.0
2024-02-02,rd,740.0,6.0
2024-02-02,na,3.0,0.0
2024-02-02,u&r,231.0,1.0
2024-02-03,e-grav,70.0,0.0
2024-02-03,e-mtn,720.0,2.0
2024-02-03,e-u&r,97.0,0.0
2024-02-03,gr,1216.0,51.0
2024-02-03,grav,938.0,2.0
2024-02-03,mtn,2603.0,2.0
2024-02-03,rd,1535.0,8.0
2024-02-03,u&r,346.0,1.0
2024-02-04,e-grav,101.0,0.0
2024-02-04,e-mtn,746.0,1.0
2024-02-04,e-u&r,90.0,0.0
2024-02-04,gr,1551.0,74.0
2024-02-04,grav,57.0,3.0
2024-02-04,mtn,3079.0,7.0
2024-02-04,rd,1614.0,12.0
2024-02-04,na,2.0,0.0
2024-02-04,u&r,358.0,2.0
2024-02-05,e-grav,105.0,0.0
2024-02-05,e-mtn,774.0,0.0
2024-02-05,e-u&r,81.0,0.0
2024-02-05,gr,1644.0,69.0
2024-02-05,grav,76.0,3.0
2024-02-05,mtn,3340.0,4.0
2024-02-05,rd,808.0,4.0
2024-02-05,na,4.0,0.0
2024-02-05,u&r,332.0,1.0
2024-02-06,e-grav,72.0,0.0
2024-02-06,e-mtn,663.0,2.0
2024-02-06,e-u&r,87.0,0.0
2024-02-06,gr,1591.0,56.0
2024-02-06,grav,58.0,1.0
2024-02-06,mtn,3088.0,4.0
2024-02-06,rd,738.0,7.0
2024-02-06,na,3.0,0.0
2024-02-06,u&r,329.0,4.0
2024-02-07,e-grav,115.0,0.0
2024-02-07,e-mtn,794.0,0.0
2024-02-07,e-u&r,98.0,0.0
2024-02-07,gr,1586.0,65.0
2024-02-07,grav,40.0,8.0
2024-02-07,mtn,3026.0,2.0
2024-02-07,rd,612.0,10.0
2024-02-07,na,5.0,0.0
2024-02-07,u&r,254.0,0.0
2024-02-08,e-grav,105.0,0.0
2024-02-08,e-mtn,734.0,0.0
2024-02-08,e-u&r,84.0,0.0
2024-02-08,gr,1406.0,58.0
2024-02-08,grav,34.0,4.0
2024-02-08,mtn,2776.0,2.0
2024-02-08,rd,640.0,8.0
2024-02-08,na,4.0,0.0
2024-02-08,u&r,318.0,3.0
2024-02-09,e-grav,81.0,0.0
2024-02-09,e-mtn,501.0,1.0
2024-02-09,e-u&r,41.0,1.0
2024-02-09,gr,1448.0,34.0
2024-02-09,grav,68.0,4.0
2024-02-09,mtn,2734.0,2.0
2024-02-09,rd,1557.0,8.0
2024-02-09,na,1.0,0.0
2024-02-09,u&r,224.0,0.0
2024-02-10,e-grav,183.0,0.0
2024-02-10,e-mtn,593.0,1.0
2024-02-10,e-u&r,69.0,0.0
2024-02-10,gr,1308.0,45.0
2024-02-10,grav,1062.0,0.0
2024-02-10,mtn,2741.0,3.0
2024-02-10,rd,549.0,6.0
2024-02-10,u&r,201.0,0.0
2024-02-11,e-grav,160.0,0.0
2024-02-11,e-mtn,732.0,2.0
2024-02-11,e-u&r,83.0,0.0
2024-02-11,gr,1424.0,45.0
2024-02-11,grav,46.0,1.0
2024-02-11,mtn,2906.0,3.0
2024-02-11,rd,1433.0,4.0
2024-02-11,na,2.0,0.0
2024-02-11,u&r,269.0,1.0
2024-02-12,e-grav,118.0,1.0
2024-02-12,e-mtn,584.0,2.0
2024-02-12,e-u&r,81.0,0.0
2024-02-12,gr,1590.0,72.0
2024-02-12,grav,51.0,4.0
2024-02-12,mtn,3008.0,2.0
2024-02-12,rd,629.0,4.0
2024-02-12,na,3.0,0.0
2024-02-12,u&r,250.0,0.0
2024-02-13,e-grav,82.0,0.0
2024-02-13,e-mtn,810.0,1.0
2024-02-13,e-u&r,55.0,0.0
2024-02-13,gr,1530.0,72.0
2024-02-13,grav,36.0,7.0
2024-02-13,mtn,3210.0,2.0
2024-02-13,rd,1638.0,13.0
2024-02-13,na,4.0,0.0
2024-02-13,u&r,266.0,0.0
2024-02-14,e-grav,120.0,0.0
2024-02-14,e-mtn,695.0,0.0
2024-02-14,e-u&r,79.0,0.0
2024-02-14,gr,1439.0,69.0
2024-02-14,grav,24.0,6.0
2024-02-14,mtn,2995.0,2.0
2024-02-14,rd,647.0,6.0
2024-02-14,na,1.0,0.0
2024-02-14,u&r,245.0,1.0
2024-02-15,e-grav,118.0,0.0
2024-02-15,e-mtn,966.0,2.0
2024-02-15,e-u&r,54.0,0.0
2024-02-15,gr,1353.0,19.0
2024-02-15,grav,42.0,1.0
2024-02-15,mtn,2724.0,0.0
2024-02-15,rd,1449.0,6.0
2024-02-15,u&r,273.0,1.0
2024-02-16,e-grav,96.0,0.0
2024-02-16,e-mtn,1095.0,1.0
2024-02-16,e-u&r,121.0,0.0
2024-02-16,gr,1538.0,56.0
2024-02-16,grav,65.0,8.0
2024-02-16,mtn,3154.0,2.0
2024-02-16,rd,621.0,14.0
2024-02-16,u&r,258.0,1.0
2024-02-17,e-grav,70.0,0.0
2024-02-17,e-mtn,1033.0,1.0
2024-02-17,e-u&r,56.0,0.0
2024-02-17,gr,1366.0,63.0
2024-02-17,grav,944.0,4.0
2024-02-17,mtn,2557.0,2.0
2024-02-17,rd,1463.0,12.0
2024-02-17,na,4.0,0.0
2024-02-17,u&r,264.0,0.0
2024-02-18,e-grav,76.0,0.0
2024-02-18,e-mtn,915.0,1.0
2024-02-18,e-u&r,64.0,0.0
2024-02-18,gr,1323.0,39.0
2024-02-18,grav,59.0,2.0
2024-02-18,mtn,2755.0,3.0
2024-02-18,rd,1376.0,6.0
2024-02-18,na,3.0,0.0
2024-02-18,u&r,270.0,0.0
2024-02-19,e-grav,48.0,1.0
2024-02-19,e-mtn,1011.0,1.0
2024-02-19,e-u&r,61.0,0.0
2024-02-19,gr,1598.0,66.0
2024-02-19,grav,33.0,7.0
2024-02-19,mtn,3329.0,10.0
2024-02-19,rd,1479.0,12.0
2024-02-19,na,2.0,0.0
2024-02-19,u&r,273.0,1.0
2024-02-20,e-grav,88.0,0.0
2024-02-20,e-mtn,1053.0,2.0
2024-02-20,e-u&r,59.0,0.0
2024-02-20,gr,1684.0,70.0
2024-02-20,grav,32.0,7.0
2024-02-20,mtn,3361.0,2.0
2024-02-20,rd,609.0,8.0
2024-02-20,na,1.0,0.0
2024-02-20,u&r,235.0,1.0
2024-02-21,e-grav,105.0,0.0
2024-02-21,e-mtn,972.0,3.0
2024-02-21,e-u&r,71.0,0.0
2024-02-21,gr,1578.0,50.0
2024-02-21,grav,61.0,2.0
2024-02-21,mtn,3003.0,4.0
2024-02-21,rd,665.0,8.0
2024-02-21,na,1.0,0.0
2024-02-21,u&r,283.0,0.0
2024-02-22,e-grav,65.0,0.0
2024-02-22,e-mtn,1011.0,2.0
2024-02-22,e-u&r,57.0,0.0
2024-02-22,gr,1132.0,31.0
2024-02-22,grav,788.0,4.0
2024-02-22,mtn,1715.0,1.0
2024-02-22,rd,501.0,5.0
2024-02-22,u&r,161.0,1.0
2024-02-23,e-grav,100.0,0.0
2024-02-23,e-mtn,839.0,0.0
2024-02-23,e-u&r,55.0,0.0
2024-02-23,gr,1356.0,78.0
2024-02-23,grav,979.0,6.0
2024-02-23,mtn,2318.0,4.0
2024-02-23,rd,696.0,10.0
2024-02-23,na,1.0,0.0
2024-02-23,u&r,215.0,0.0
2024-02-24,e-grav,98.0,0.0
2024-02-24,e-mtn,692.0,1.0
2024-02-24,e-u&r,39.0,0.0
2024-02-24,gr,1235.0,65.0
2024-02-24,grav,734.0,4.0
2024-02-24,mtn,2143.0,2.0
2024-02-24,rd,1189.0,7.0
2024-02-24,u&r,188.0,0.0
2024-02-25,e-grav,122.0,0.0
2024-02-25,e-mtn,871.0,1.0
2024-02-25,e-u&r,94.0,0.0
2024-02-25,gr,1487.0,42.0
2024-02-25,grav,1030.0,4.0
2024-02-25,mtn,2323.0,3.0
2024-02-25,rd,1503.0,11.0
2024-02-25,u&r,227.0,0.0
2024-02-26,e-grav,100.0,0.0
2024-02-26,e-mtn,1075.0,4.0
2024-02-26,e-u&r,75.0,0.0
2024-02-26,gr,1862.0,83.0
2024-02-26,grav,28.0,11.0
2024-02-26,mtn,2740.0,10.0
2024-02-26,rd,646.0,12.0
2024-02-26,na,1.0,0.0
2024-02-26,u&r,264.0,2.0
2024-02-27,e-grav,112.0,0.0
2024-02-27,e-mtn,1066.0,1.0
2024-02-27,e-u&r,91.0,0.0
2024-02-27,gr,1627.0,69.0
2024-02-27,grav,36.0,10.0
2024-02-27,mtn,2505.0,5.0
2024-02-27,rd,775.0,5.0
2024-02-27,na,1.0,0.0
2024-02-27,u&r,256.0,1.0
2024-02-28,e-grav,139.0,0.0
2024-02-28,e-mtn,858.0,1.0
2024-02-28,e-u&r,81.0,0.0
2024-02-28,gr,1646.0,82.0
2024-02-28,grav,12.0,9.0
2024-02-28,mtn,2546.0,7.0
2024-02-28,rd,763.0,10.0
2024-02-28,na,3.0,0.0
2024-02-28,u&r,225.0,0.0
2024-02-29,e-grav,105.0,0.0
2024-02-29,e-mtn,758.0,0.0
2024-02-29,e-u&r,79.0,0.0
2024-02-29,gr,1307.0,51.0
2024-02-29,grav,18.0,7.0
2024-02-29,mtn,2274.0,1.0
2024-02-29,rd,628.0,10.0
2024-02-29,u&r,250.0,0.0
2024-03-01,e-grav,109.0,1.0
2024-03-01,e-mtn,639.0,2.0
2024-03-01,e-u&r,92.0,0.0
2024-03-01,gr,1451.0,42.0
2024-03-01,grav,28.0,4.0
2024-03-01,mtn,2093.0,3.0
2024-03-01,rd,651.0,7.0
2024-03-01,na,2.0,0.0
2024-03-01,u&r,314.0,0.0
2024-03-02,e-grav,131.0,1.0
2024-03-02,e-mtn,696.0,0.0
2024-03-02,e-u&r,66.0,0.0
2024-03-02,gr,1339.0,33.0
2024-03-02,grav,15.0,2.0
2024-03-02,mtn,2821.0,4.0
2024-03-02,rd,575.0,9.0
2024-03-02,na,1.0,0.0
2024-03-02,u&r,268.0,1.0
2024-03-03,e-grav,153.0,0.0
2024-03-03,e-mtn,697.0,0.0
2024-03-03,e-u&r,73.0,0.0
2024-03-03,gr,1523.0,74.0
2024-03-03,grav,38.0,9.0
2024-03-03,mtn,2162.0,2.0
2024-03-03,rd,601.0,8.0
2024-03-03,na,2.0,0.0
2024-03-03,u&r,299.0,0.0
2024-03-04,e-grav,121.0,0.0
2024-03-04,e-mtn,753.0,0.0
2024-03-04,e-u&r,131.0,0.0
2024-03-04,gr,2032.0,70.0
2024-03-04,grav,29.0,3.0
2024-03-04,mtn,2718.0,5.0
2024-03-04,rd,749.0,16.0
2024-03-04,na,1.0,0.0
2024-03-04,u&r,338.0,1.0
2024-03-05,e-grav,1028.0,0.0
2024-03-05,e-mtn,834.0,0.0
2024-03-05,e-u&r,124.0,0.0
2024-03-05,gr,1727.0,49.0
2024-03-05,grav,16.0,2.0
2024-03-05,mtn,2574.0,2.0
2024-03-05,rd,741.0,6.0
2024-03-05,na,3.0,0.0
2024-03-05,u&r,274.0,0.0
2024-03-06,e-grav,857.0,0.0
2024-03-06,e-mtn,808.0,2.0
2024-03-06,e-u&r,151.0,0.0
2024-03-06,gr,1799.0,81.0
2024-03-06,grav,19.0,4.0
2024-03-06,mtn,2559.0,3.0
2024-03-06,rd,834.0,10.0
2024-03-06,na,1.0,0.0
2024-03-06,u&r,331.0,0.0
2024-03-07,e-grav,539.0,1.0
2024-03-07,e-mtn,938.0,1.0
2024-03-07,e-u&r,113.0,1.0
2024-03-07,gr,1740.0,68.0
2024-03-07,grav,53.0,2.0
2024-03-07,mtn,3065.0,11.0
2024-03-07,rd,946.0,16.0
2024-03-07,na,3.0,0.0
2024-03-07,u&r,385.0,5.0
2024-03-08,e-grav,240.0,1.0
2024-03-08,e-mtn,453.0,0.0
2024-03-08,e-u&r,59.0,0.0
2024-03-08,gr,823.0,57.0
2024-03-08,grav,811.0,2.0
2024-03-08,mtn,1801.0,6.0
2024-03-08,rd,1109.0,4.0
2024-03-08,na,1.0,0.0
2024-03-08,u&r,276.0,3.0
2024-03-09,e-grav,439.0,1.0
2024-03-09,e-mtn,658.0,0.0
2024-03-09,e-u&r,104.0,0.0
2024-03-09,gr,1581.0,69.0
2024-03-09,grav,27.0,3.0
2024-03-09,mtn,2938.0,12.0
2024-03-09,rd,732.0,11.0
2024-03-09,u&r,494.0,3.0
2024-03-10,e-grav,350.0,1.0
2024-03-10,e-mtn,592.0,1.0
2024-03-10,e-u&r,114.0,0.0
2024-03-10,gr,1504.0,57.0
2024-03-10,grav,21.0,3.0
2024-03-10,mtn,2959.0,8.0
2024-03-10,rd,640.0,6.0
2024-03-10,u&r,365.0,1.0
2024-03-11,e-grav,472.0,1.0
2024-03-11,e-mtn,781.0,1.0
2024-03-11,e-u&r,95.0,0.0
2024-03-11,gr,1058.0,118.0
2024-03-11,grav,33.0,9.0
2024-03-11,mtn,3603.0,10.0
2024-03-11,rd,956.0,11.0
2024-03-11,na,1.0,0.0
2024-03-11,u&r,441.0,1.0
2024-03-12,e-grav,388.0,0.0
2024-03-12,e-mtn,651.0,0.0
2024-03-12,e-u&r,64.0,0.0
2024-03-12,gr,1750.0,78.0
2024-03-12,grav,67.0,8.0
2024-03-12,mtn,2330.0,6.0
2024-03-12,rd,926.0,16.0
2024-03-12,na,2.0,0.0
2024-03-12,u&r,496.0,1.0
2024-03-13,e-grav,345.0,2.0
2024-03-13,e-mtn,727.0,0.0
2024-03-13,e-u&r,116.0,0.0
2024-03-13,gr,1718.0,70.0
2024-03-13,grav,37.0,10.0
2024-03-13,mtn,3019.0,8.0
2024-03-13,rd,744.0,7.0
2024-03-13,na,1.0,0.0
2024-03-13,u&r,446.0,2.0
2024-03-14,e-grav,345.0,1.0
2024-03-14,e-mtn,565.0,2.0
2024-03-14,e-u&r,113.0,0.0
2024-03-14,gr,1866.0,95.0
2024-03-14,grav,69.0,5.0
2024-03-14,mtn,3078.0,6.0
2024-03-14,rd,645.0,14.0
2024-03-14,u&r,437.0,2.0
2024-03-15,e-grav,315.0,3.0
2024-03-15,e-mtn,567.0,1.0
2024-03-15,e-u&r,92.0,0.0
2024-03-15,gr,1711.0,52.0
2024-03-15,grav,1027.0,6.0
2024-03-15,mtn,2217.0,14.0
2024-03-15,rd,656.0,13.0
2024-03-15,u&r,507.0,4.0
2024-03-16,e-grav,310.0,0.0
2024-03-16,e-mtn,538.0,0.0
2024-03-16,e-u&r,97.0,0.0
2024-03-16,gr,1530.0,49.0
2024-03-16,grav,32.0,3.0
2024-03-16,mtn,2536.0,9.0
2024-03-16,rd,671.0,9.0
2024-03-16,na,4.0,0.0
2024-03-16,u&r,326.0,1.0
2024-03-17,e-grav,346.0,1.0
2024-03-17,e-mtn,607.0,0.0
2024-03-17,e-u&r,95.0,0.0
2024-03-17,gr,1759.0,59.0
2024-03-17,grav,52.0,4.0
2024-03-17,mtn,2791.0,6.0
2024-03-17,rd,763.0,9.0
2024-03-17,u&r,411.0,0.0
2024-03-18,e-grav,390.0,0.0
2024-03-18,e-mtn,714.0,1.0
2024-03-18,e-u&r,91.0,0.0
2024-03-18,gr,1976.0,77.0
2024-03-18,grav,28.0,2.0
2024-03-18,mtn,3457.0,12.0
2024-03-18,rd,848.0,12.0
2024-03-18,na,1.0,0.0
2024-03-18,u&r,444.0,0.0
2024-03-19,e-grav,338.0,1.0
2024-03-19,e-mtn,644.0,0.0
2024-03-19,e-u&r,85.0,0.0
2024-03-19,gr,1978.0,85.0
2024-03-19,grav,51.0,4.0
2024-03-19,mtn,3490.0,17.0
2024-03-19,rd,779.0,11.0
2024-03-19,na,1.0,0.0
2024-03-19,u&r,409.0,1.0
2024-03-20,e-grav,277.0,0.0
2024-03-20,e-mtn,587.0,0.0
2024-03-20,e-u&r,99.0,0.0
2024-03-20,gr,1847.0,58.0
2024-03-20,grav,17.0,4.0
2024-03-20,mtn,2965.0,21.0
2024-03-20,rd,788.0,15.0
2024-03-20,u&r,380.0,2.0
2024-03-21,e-grav,293.0,0.0
2024-03-21,e-mtn,567.0,0.0
2024-03-21,e-u&r,91.0,0.0
2024-03-21,gr,1705.0,82.0
2024-03-21,grav,37.0,7.0
2024-03-21,mtn,3019.0,13.0
2024-03-21,rd,902.0,22.0
2024-03-21,u&r,358.0,0.0
2024-03-22,e-grav,428.0,0.0
2024-03-22,e-mtn,583.0,0.0
2024-03-22,e-u&r,74.0,0.0
2024-03-22,gr,1980.0,81.0
2024-03-22,grav,55.0,5.0
2024-03-22,mtn,2667.0,13.0
2024-03-22,rd,959.0,9.0
2024-03-22,na,2.0,0.0
2024-03-22,u&r,276.0,0.0
2024-03-23,e-grav,298.0,0.0
2024-03-23,e-mtn,487.0,2.0
